nodenumber,    x-coordinate,    y-coordinate,    x-coordinate,    y-coordinate,  turb-diss-rate,turb-kinetic-energy,      x-velocity,      y-velocity,        pressure
       123, 1.317863465E-01, 0.000000000E+00, 1.317863465E-01, 0.000000000E+00, 5.355245746E-07, 2.532477652E-10, 0.000000000E+00, 0.000000000E+00, 3.105175837E-01
       124, 1.324230146E-01, 0.000000000E+00, 1.324230146E-01, 0.000000000E+00, 4.555362262E-07, 2.154095060E-10, 0.000000000E+00, 0.000000000E+00, 3.141948115E-01
       125, 1.330596828E-01, 0.000000000E+00, 1.330596828E-01, 0.000000000E+00, 4.611326438E-07, 2.180569579E-10, 0.000000000E+00, 0.000000000E+00, 3.181001551E-01
       126, 1.336963509E-01, 0.000000000E+00, 1.336963509E-01, 0.000000000E+00, 5.186227712E-07, 2.452613172E-10, 0.000000000E+00, 0.000000000E+00, 3.220434582E-01
       127, 1.343330191E-01, 0.000000000E+00, 1.343330191E-01, 0.000000000E+00, 5.518677803E-07, 2.610074767E-10, 0.000000000E+00, 0.000000000E+00, 3.258757366E-01
       128, 1.349696872E-01, 0.000000000E+00, 1.349696872E-01, 0.000000000E+00, 5.740419499E-07, 2.715166166E-10, 0.000000000E+00, 0.000000000E+00, 3.295573303E-01
       129, 1.356063554E-01, 0.000000000E+00, 1.356063554E-01, 0.000000000E+00, 6.097285234E-07, 2.884156237E-10, 0.000000000E+00, 0.000000000E+00, 3.332445496E-01
       130, 1.362430235E-01, 0.000000000E+00, 1.362430235E-01, 0.000000000E+00, 6.400780435E-07, 3.027891485E-10, 0.000000000E+00, 0.000000000E+00, 3.369208513E-01
       131, 1.368796917E-01, 0.000000000E+00, 1.368796917E-01, 0.000000000E+00, 6.197300124E-07, 2.931764882E-10, 0.000000000E+00, 0.000000000E+00, 3.405212802E-01
       132, 1.375163598E-01, 0.000000000E+00, 1.375163598E-01, 0.000000000E+00, 6.297542546E-07, 2.979352797E-10, 0.000000000E+00, 0.000000000E+00, 3.441336289E-01
       133, 1.381530280E-01, 0.000000000E+00, 1.381530280E-01, 0.000000000E+00, 6.687130718E-07, 3.163793457E-10, 0.000000000E+00, 0.000000000E+00, 3.477310097E-01
       134, 1.387896961E-01, 0.000000000E+00, 1.387896961E-01, 0.000000000E+00, 6.636169111E-07, 3.139717784E-10, 0.000000000E+00, 0.000000000E+00, 3.513105509E-01
       135, 1.394263642E-01, 0.000000000E+00, 1.394263642E-01, 0.000000000E+00, 6.592443423E-07, 3.119021097E-10, 0.000000000E+00, 0.000000000E+00, 3.548968174E-01
       136, 1.400630324E-01, 0.000000000E+00, 1.400630324E-01, 0.000000000E+00, 6.424282790E-07, 3.039453949E-10, 0.000000000E+00, 0.000000000E+00, 3.584719032E-01
       137, 1.406997005E-01, 0.000000000E+00, 1.406997005E-01, 0.000000000E+00, 6.096313941E-07, 2.884283312E-10, 0.000000000E+00, 0.000000000E+00, 3.620286795E-01
